Date,HomeTeam,AwayTeam,FTHG,FTAG,BbAHh,HMargin,H_Bet_Win
170521,Watford,Man City,0,5,1.75,-5,False
170521,Chelsea,Sunderland,5,1,-2.25,4,True
170521,Arsenal,Everton,3,1,-1.25,2,True
170521,Hull,Tottenham,1,7,1.0,-6,False
170521,Burnley,West Ham,1,2,-0.25,-1,False
170811,Arsenal,Leicester,4,3,-1.0,1,False
170812,West Brom,Bournemouth,1,0,-0.25,1,True
170812,Southampton,Swansea,0,0,-0.75,0,False
170812,Everton,Stoke,1,0,-0.75,1,True
170812,Watford,Liverpool,3,3,1.0,0,True
170812,Chelsea,Burnley,2,3,-1.75,-1,False
170812,Brighton,Man City,0,2,1.5,-2,False
170812,Crystal Palace,Huddersfield,0,3,-0.75,-3,False
170813,Man United,West Ham,4,0,-1.5,4,True
170813,Newcastle,Tottenham,0,2,0.75,-2,False
170819,Swansea,Man United,0,4,1.25,-4,False
170819,Stoke,Arsenal,1,0,0.5,1,True
170819,Liverpool,Crystal Palace,1,0,-1.5,1,False
170819,Southampton,West Ham,3,2,-0.75,1,True
170819,Burnley,West Brom,0,1,-0.25,-1,False
170819,Bournemouth,Watford,0,2,-0.5,-2,False
170819,Leicester,Brighton,2,0,-0.75,2,True
170820,Huddersfield,Newcastle,1,0,-0.25,1,True
170820,Tottenham,Chelsea,1,2,-0.5,-1,False
170821,Man City,Everton,1,1,-1.5,0,False
170826,Bournemouth,Man City,1,2,1.5,-1,True
170826,Crystal Palace,Swansea,0,2,-0.25,-2,False
170826,Huddersfield,Southampton,0,0,0.25,0,True
170826,Man United,Leicester,2,0,-1.5,2,True
170826,Newcastle,West Ham,3,0,-0.25,3,True
170826,Watford,Brighton,0,0,-0.5,0,False
170827,West Brom,Stoke,1,1,-0.25,0,False
170827,Tottenham,Burnley,1,1,-1.75,0,False
170827,Chelsea,Everton,2,0,-1.25,2,True
170827,Liverpool,Arsenal,4,0,-0.25,4,True
170909,Stoke,Man United,2,2,1.0,0,True
170909,Southampton,Watford,0,2,-0.75,-2,False
170909,Man City,Liverpool,5,0,-0.5,5,True
170909,Brighton,West Brom,3,1,-0.25,2,True
170909,Everton,Tottenham,0,3,0.25,-3,False
170909,Arsenal,Bournemouth,3,0,-1.25,3,True
170909,Leicester,Chelsea,1,2,0.75,-1,False
170910,Burnley,Crystal Palace,1,0,-0.25,1,True
170910,Swansea,Newcastle,0,1,-0.25,-1,False
170911,West Ham,Huddersfield,2,0,-0.5,2,True
170915,Bournemouth,Brighton,2,1,-0.25,1,True
170916,Liverpool,Burnley,1,1,-1.75,0,False
170916,Newcastle,Stoke,2,1,-0.25,1,True
170916,Crystal Palace,Southampton,0,1,0.0,-1,False
170916,Huddersfield,Leicester,1,1,0.25,0,True
170916,West Brom,West Ham,0,0,-0.25,0,False
170916,Watford,Man City,0,6,1.5,-6,False
170916,Tottenham,Swansea,0,0,-1.75,0,False
170917,Chelsea,Arsenal,0,0,-0.75,0,False
170917,Man United,Everton,4,0,-1.25,4,True
170923,West Ham,Tottenham,2,3,1.0,-1,False
170923,Swansea,Watford,1,2,-0.25,-1,False
170923,Stoke,Chelsea,0,4,0.75,-4,False
170923,Man City,Crystal Palace,5,0,-2.25,5,True
